LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
GRC,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,49.8,
GRC,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,47.35,
GRC,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,43.575,
GRC,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,39.875,
HUN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,20.4,
HUN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,17.3,
HUN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,12.95,
HUN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,10.7,
HUN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,10.175,
ISL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,9.75,
ISL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,8.75,
ISL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,6.5,
ISL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,7.725,
ISL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,5.975,
IRL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,23.425,
IRL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,20.225,
IRL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,16.75,
IRL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,14.35,B
IRL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,13.7,
ITA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,42.675,
ITA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,40.325,
ITA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,37.75,
ITA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,34.75,
ITA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,32.175,
JPN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,6.2,
JPN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,5.575,
JPN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,5.158333,
JPN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,4.65,
JPN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,3.658333,
KOR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,10.0223,
KOR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,10.50655,
KOR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,10.65688,
KOR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,10.30059,
KOR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,10.49935,
CHN,YOUTHUNEMP,TOT,PC_YOUTHLF,,2014,10.62,
CHN,YOUTHUNEMP,TOT,PC_YOUTHLF,,2015,10.76,
CHN,YOUTHUNEMP,TOT,PC_YOUTHLF,,2016,10.65,
CHN,YOUTHUNEMP,TOT,PC_YOUTHLF,,2017,10.5,
CHN,YOUTHUNEMP,TOT,PC_YOUTHLF,,2018,10.59,
LUX,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,22.65,B
LUX,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,17.325,
LUX,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,18.675,
LUX,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,15.425,
LUX,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,14.1,
MEX,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,9.467809,
MEX,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,8.612964,
MEX,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,7.728375,
MEX,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,6.902966,
MEX,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,6.902316,
NLD,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,12.75,
NLD,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,11.25,
NLD,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,10.825,
NLD,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,8.85,
NLD,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,7.15,
NZL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,13.89433,
NZL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,13.69827,
NZL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,13.19881,
NZL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,12.67402,
NZL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,11.48471,
NOR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,7.85,
NOR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,9.875,
NOR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,11.125,
NOR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,10.35,
NOR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,9.7,
POL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,23.85,
POL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,20.75,
POL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,17.625,
POL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,14.8,
POL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,11.775,
PRT,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,34.825,
PRT,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,31.95,
PRT,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,27.925,
PRT,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,23.875,
PRT,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,20.3,
SVK,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,29.7,
SVK,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,26.45,
SVK,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,22.225,
SVK,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,18.9,
SVK,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,14.925,
ESP,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,53.2,
ESP,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,48.35,
ESP,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,44.45,
ESP,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,38.675,
ESP,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,34.375,
SWE,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,22.875,
SWE,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,20.325,
SWE,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,18.825,
SWE,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,17.875,
SWE,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,16.725,
CHE,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,8.575,
CHE,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,8.775,
CHE,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,8.575,
CHE,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,8.05,
CHE,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,7.925,
TUR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,17.825,
TUR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,18.525,
TUR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,19.475,
TUR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,20.575,
TUR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,20.125,
GBR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,16.95,
GBR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,14.625,
GBR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,13,
GBR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,12.075,
GBR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,11.3,
USA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,13.36667,
USA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,11.6,
USA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,10.41667,
USA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,9.225,
USA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,8.6,
BRA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,13.37513,
CHL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,16.44328,
CHL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,15.50438,
CHL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,15.66449,
CHL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,16.85227,
CHL,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,17.64406,
EST,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,14.975,
EST,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,13.2,
EST,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,13.475,
EST,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,12.15,E
EST,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,11.85,
ISR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,10.51667,
ISR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,9.241667,
ISR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,8.591666,
ISR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,7.25,
ISR,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,7.116667,
LVA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,19.625,
LVA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,16.3,
LVA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,17.25,
LVA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,16.975,
LVA,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,12.225,
LTU,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,19.3,
LTU,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,16.3,
LTU,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,14.475,
LTU,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,13.25,
LTU,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,11.2,
SVN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,20.3,
SVN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,16.425,
SVN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,15.275,
SVN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,11.275,
SVN,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,8.8,
ZAF,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,51.26665,
ZAF,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,50.13005,
ZAF,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,53.34187,
ZAF,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,53.36292,
ZAF,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,53.39257,
EU28,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,22.2,
EU28,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,20.35,
EU28,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,18.7,
EU28,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,16.85,
EU28,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,15.2,
OECD,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,15.12268,B
OECD,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,13.90228,B
OECD,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,12.96359,B
OECD,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,11.92842,E
OECD,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,11.0858,
EA19,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2014,23.725,
EA19,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2015,22.35,
EA19,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2016,20.9,
EA19,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2017,18.8,
EA19,YOUTHUNEMP,TOT,PC_YOUTHLF,A,2018,16.925,
